date,pattern_a_channel_1,pattern_a_channel_2,pattern_b_channel_1,pattern_b_channel_2,episode_starts
8/19/2016 4:00,167,0,0,20,185
8/20/2016 4:00,781,0,0,206,956
8/21/2016 4:00,605,0,0,164,744
8/22/2016 4:00,217,0,0,26,242
8/23/2016 4:00,125,0,0,14,139
8/24/2016 4:00,245,0,0,108,348
8/25/2016 4:00,97,0,0,67,161
8/26/2016 4:00,126,0,0,120,237
8/27/2016 4:00,111,0,0,353,453
8/28/2016 4:00,110,0,0,188,291
8/29/2016 4:00,73,0,0,138,208
8/30/2016 4:00,48,0,0,114,161
8/31/2016 4:00,42,0,0,52,93
9/1/2016 4:00,141,0,0,37,175
9/2/2016 4:00,427,0,0,29,453
9/3/2016 4:00,561,0,0,26,584
9/4/2016 4:00,455,0,0,39,491
9/5/2016 4:00,338,0,0,34,370
9/6/2016 4:00,470,0,0,179,632
9/7/2016 4:00,354,0,0,251,592
9/8/2016 4:00,160,0,0,139,293
9/9/2016 4:00,151,0,0,74,222
9/10/2016 4:00,188,0,0,133,314
9/11/2016 4:00,156,0,0,48,201
9/12/2016 4:00,109,0,0,41,148
9/13/2016 4:00,75,0,0,84,156
9/14/2016 4:00,153,0,0,154,303
9/15/2016 4:00,191,0,0,145,333
9/16/2016 4:00,162,0,0,157,316
9/17/2016 4:00,406,0,0,71,469
9/18/2016 4:00,371,0,0,129,495
9/19/2016 4:00,97,0,0,148,243
9/20/2016 4:00,427,0,0,165,587
9/21/2016 4:00,389,0,0,195,573
9/22/2016 4:00,329,0,0,87,409
9/23/2016 4:00,277,0,0,147,415
9/24/2016 4:00,277,0,0,85,350
9/25/2016 4:00,262,0,0,97,354
9/26/2016 4:00,299,0,0,53,349
9/27/2016 4:00,347,0,0,282,615
9/28/2016 4:00,326,0,0,217,527
9/29/2016 4:00,309,0,0,683,967
9/30/2016 4:00,235,0,0,767,975
10/1/2016 4:00,410,0,0,1072,1424
10/2/2016 4:00,845,0,0,1021,1784
10/3/2016 4:00,965,0,0,969,1852
10/4/2016 4:00,668,0,0,998,1599
10/5/2016 4:00,448,0,0,1085,1478
10/6/2016 4:00,331,0,0,914,1218
10/7/2016 4:00,155,0,0,321,470
10/8/2016 4:00,45,0,0,115,160
10/9/2016 4:00,35,0,0,208,243
10/10/2016 4:00,19,0,0,241,258
10/11/2016 4:00,21,0,0,409,429
10/12/2016 4:00,28,0,0,515,541
10/13/2016 4:00,20,0,0,591,609
10/14/2016 4:00,16,0,0,231,247
10/15/2016 4:00,12,0,0,232,244
10/16/2016 4:00,18,0,0,357,375
10/17/2016 4:00,126,0,0,724,835
10/18/2016 4:00,14,0,0,183,197
10/19/2016 4:00,69,0,0,368,437
10/20/2016 4:00,62,0,0,691,753
10/21/2016 4:00,28,0,0,124,152
10/22/2016 4:00,46,0,0,151,195
10/23/2016 4:00,70,0,0,240,308
10/24/2016 4:00,620,0,0,1466,2011
