date,pattern_a_channel_1,pattern_a_channel_2,pattern_b_channel_1,pattern_b_channel_2,episode_starts
8/19/2016 20:00,1.0,0.0,0.0,0.0,1.0
8/19/2016 21:00,11.0,0.0,0.0,1.0,12.0
8/19/2016 22:00,25.0,0.0,0.0,1.0,25.0
8/19/2016 23:00,26.0,0.0,0.0,2.0,28.0
8/20/2016 0:00,27.0,0.0,0.0,4.0,31.0
8/20/2016 1:00,26.0,0.0,0.0,6.0,31.0
8/20/2016 2:00,28.0,0.0,0.0,1.0,29.0
8/20/2016 3:00,23.0,0.0,0.0,5.0,28.0
8/20/2016 4:00,27.0,0.0,0.0,8.0,34.0
8/20/2016 5:00,41.0,0.0,0.0,7.0,47.0
8/20/2016 6:00,42.0,0.0,0.0,4.0,44.0
8/20/2016 7:00,21.0,0.0,0.0,1.0,22.0
8/20/2016 8:00,32.0,0.0,0.0,1.0,33.0
8/20/2016 9:00,38.0,0.0,0.0,5.0,42.0
8/20/2016 10:00,27.0,0.0,0.0,5.0,32.0
8/20/2016 11:00,29.0,0.0,0.0,8.0,37.0
8/20/2016 12:00,29.0,0.0,0.0,9.0,37.0
8/20/2016 13:00,28.0,0.0,0.0,5.0,32.0
8/20/2016 14:00,44.0,0.0,0.0,12.0,52.0
8/20/2016 15:00,22.0,0.0,0.0,16.0,37.0
8/20/2016 16:00,30.0,0.0,0.0,12.0,42.0
8/20/2016 17:00,40.0,0.0,0.0,11.0,49.0
8/20/2016 18:00,38.0,0.0,0.0,11.0,47.0
8/20/2016 19:00,33.0,0.0,0.0,13.0,45.0
8/20/2016 20:00,28.0,0.0,0.0,12.0,39.0
8/20/2016 21:00,33.0,0.0,0.0,7.0,36.0
8/20/2016 22:00,45.0,0.0,0.0,7.0,49.0
8/20/2016 23:00,35.0,0.0,0.0,14.0,46.0
8/21/2016 0:00,38.0,0.0,0.0,14.0,51.0
8/21/2016 1:00,33.0,0.0,0.0,6.0,39.0
8/21/2016 2:00,23.0,0.0,0.0,10.0,31.0
8/21/2016 3:00,25.0,0.0,0.0,8.0,33.0
8/21/2016 4:00,38.0,0.0,0.0,10.0,46.0
8/21/2016 5:00,31.0,0.0,0.0,12.0,40.0
8/21/2016 6:00,26.0,0.0,0.0,8.0,31.0
8/21/2016 7:00,39.0,0.0,0.0,17.0,54.0
8/21/2016 8:00,41.0,0.0,0.0,11.0,50.0
8/21/2016 9:00,37.0,0.0,0.0,8.0,43.0
8/21/2016 10:00,34.0,0.0,0.0,14.0,47.0
8/21/2016 11:00,30.0,0.0,0.0,9.0,39.0
8/21/2016 12:00,27.0,0.0,0.0,13.0,40.0
8/21/2016 13:00,27.0,0.0,0.0,6.0,32.0
8/21/2016 14:00,41.0,0.0,0.0,8.0,48.0
8/21/2016 15:00,26.0,0.0,0.0,8.0,32.0
8/21/2016 16:00,30.0,0.0,0.0,11.0,39.0
8/21/2016 17:00,27.0,0.0,0.0,8.0,35.0
8/21/2016 18:00,18.0,0.0,0.0,4.0,21.0
8/21/2016 19:00,25.0,0.0,0.0,1.0,26.0
8/21/2016 20:00,22.0,0.0,0.0,5.0,26.0
8/21/2016 21:00,17.0,0.0,0.0,4.0,20.0
8/21/2016 22:00,20.0,0.0,0.0,2.0,22.0
8/21/2016 23:00,6.0,0.0,0.0,1.0,7.0
8/22/2016 0:00,17.0,0.0,0.0,1.0,17.0
8/22/2016 1:00,10.0,0.0,0.0,2.0,12.0
8/22/2016 2:00,11.0,0.0,0.0,1.0,12.0
8/22/2016 3:00,5.0,0.0,0.0,0.0,5.0
8/22/2016 4:00,8.0,0.0,0.0,0.0,8.0
8/22/2016 5:00,18.0,0.0,0.0,1.0,18.0
8/22/2016 6:00,15.0,0.0,0.0,0.0,15.0
8/22/2016 7:00,7.0,0.0,0.0,1.0,8.0
8/22/2016 8:00,16.0,0.0,0.0,6.0,22.0
8/22/2016 9:00,19.0,0.0,0.0,1.0,20.0
8/22/2016 10:00,16.0,0.0,0.0,3.0,19.0
8/22/2016 11:00,13.0,0.0,0.0,4.0,17.0
